Ненецкий автономный округ;2.0
Южный федеральный округ;274.0
Республика Адыгея (Адыгея);9.0
Республика Калмыкия;17.0
Республика Крым;22.0
Краснодарский край;127.0
Астраханская область;12.0
Волгоградская область;30.0
Ростовская область;45.0
гор. Севастополь;12.0
Северо-Кавказский федеральный округ;105.0
Республика Дагестан;20.0
Республика Ингушетия;9.0
Кабардино-Балкарская Республика;12.0
Карачаево-Черкесская Республика;2.0
Республика Северная Осетия-Алания;17.0
Чеченская Республика;3.0
Ставропольский край;42.0
Приволжский федеральный округ;453.0
Республика Башкортостан;53.0
Республика Марий Эл;10.0
Республика Мордовия;14.0
Республика Татарстан (Татарстан);22.0
Удмуртская Республика;32.0
Чувашская Республика - Чувашия;12.0
Пермский край;39.0
Кировская область;27.0
Нижегородская область;91.0
Оренбургская область;27.0
Пензенская область;34.0
Самарская область;47.0
Саратовская область;32.0
Ульяновская область;13.0
Уральский федеральный округ;175.0
Курганская область;12.0
Свердловская область;50.0
Тюменская область;35.0
Челябинская область;65.0
Ханты-Мансийский автономный округ - Югра;9.0
Ямало-Ненецкий автономный округ;4.0
Сибирский федеральный округ;349.0
Республика Алтай;9.0
Республика Тыва;13.0
Республика Хакасия;15.0
Алтайский край;87.0
Красноярский край;65.0
Иркутская область;40.0
Кемеровская область - Кузбасс;51.0
Новосибирская область;38.0
Омская область;25.0
Томская область;6.0
Дальневосточный федеральный округ;224.0
Республика Бурятия;25.0
Республика Саха (Якутия);12.0
Забайкальский край;45.0
Приморский край;44.0
Камчатский край;11.0
Хабаровский край;36.0
Амурская область;36.0
Магаданская область;4.0
Сахалинская область;5.0
Еврейская автономная область;5.0
Чукотский автономный округ;1.0
Федеральные территории;0.0
Сириус;0.0
