Российская Федерация;1060.0
Центральный федеральный округ;249.0
Белгородская область;12.0
Брянская область;4.0
Владимирская область;10.0
Воронежская область;23.0
Ивановская область;6.0
Калужская область;9.0
Костромская область;8.0
Курская область;13.0
Липецкая область;6.0
гор. Москва;66.0
Московская область;28.0
Орловская область;6.0
Рязанская область;11.0
Смоленская область;8.0
Тамбовская область;8.0
Тверская область;12.0
Тульская область;10.0
Ярославская область;9.0
Северо-Западный федеральный округ;109.0
Республика Карелия;6.0
Республика Коми;2.0
Архангельская область;4.0
Вологодская область;9.0
Калининградская область;12.0
Ленинградская область;10.0
гор. Санкт-Петербург;39.0
Мурманская область;7.0
Новгородская область;6.0
Псковская область;13.0
Ненецкий автономный округ;1.0
Южный федеральный округ;142.0
Республика Адыгея (Адыгея);5.0
Республика Калмыкия;6.0
Республика Крым;7.0
Краснодарский край;57.0
Астраханская область;11.0
Волгоградская область;27.0
Ростовская область;23.0
гор. Севастополь;6.0
Северо-Кавказский федеральный округ;69.0
Республика Дагестан;19.0
Республика Ингушетия;3.0
Кабардино-Балкарская Республика;7.0
Карачаево-Черкесская Республика;4.0
Республика Северная Осетия-Алания;11.0
Чеченская Республика;1.0
Ставропольский край;24.0
Приволжский федеральный округ;215.0
Республика Башкортостан;32.0
Республика Марий Эл;2.0
Республика Мордовия;3.0
Республика Татарстан (Татарстан);28.0
Удмуртская Республика;16.0
Чувашская Республика - Чувашия;7.0
Пермский край;17.0
Кировская область;10.0
Нижегородская область;39.0
Оренбургская область;10.0
Пензенская область;10.0
Самарская область;17.0
Саратовская область;19.0
Ульяновская область;5.0
Уральский федеральный округ;77.0
Курганская область;4.0
Свердловская область;17.0
Тюменская область;23.0
Челябинская область;23.0
Ханты-Мансийский автономный округ - Югра;7.0
Ямало-Ненецкий автономный округ;3.0
Сибирский федеральный округ;131.0
Республика Алтай;2.0
Республика Тыва;7.0
Республика Хакасия;3.0
Алтайский край;15.0
Красноярский край;24.0
Иркутская область;19.0
Кемеровская область - Кузбасс;18.0
Новосибирская область;20.0
Омская область;21.0
Томская область;2.0
Дальневосточный федеральный округ;68.0
Республика Бурятия;15.0
Республика Саха (Якутия);6.0
Забайкальский край;4.0
Приморский край;18.0
Камчатский край;2.0
Хабаровский край;12.0
Амурская область;5.0
Магаданская область;4.0
Сахалинская область;2.0
Еврейская автономная область;0.0
Чукотский автономный округ;0.0
Федеральные территории;0.0
Сириус;0.0
